Title,Subtitle,Authors,Year,Publisher,Referenced,Versions
Elevating Learning Experiences: Leveraging Large Language Models as Student-Facing Assistants in Discussion Forums,Proceedings of the 55th …,"C Mitra, M Miroyan, R Jain, V Kumud…",2024,dl.acm.org,1,1
Executing Natural Language-Described Algorithms with Large Language Models: An Investigation,arXiv preprint arXiv …,"X Zheng, Q Zhu, H Lin, Y Lu, X Han, L Sun",2024,arxiv.org,0,1
Robbert: a dutch roberta-based language model,arXiv preprint arXiv:2001.06286,"P Delobelle, T Winters, B Berendt",2020,arxiv.org,222,9
Atlas: Few-shot learning with retrieval augmented language models,arXiv preprint arXiv …,"G Izacard, P Lewis, M Lomeli, L Hosseini…",2022,arxiv.org,317,3
Cultural evolution in populations of Large Language Models,arXiv preprint arXiv …,"J Perez, C Léger, M Ovando",2024,arxiv.org,0,1
[HTML] Evaluating the generation capabilities of large Chinese language models,AI Open,"H Zeng, J Xue, M Hao, C Sun, B Ning, N Zhang",2024,Elsevier,3,3
Finetuned language models are zero-shot learners,arXiv preprint arXiv …,"J Wei, M Bosma, VY Zhao, K Guu, AW Yu…",2021,arxiv.org,1816,6
Rethinking Generative Large Language Model Evaluation for Semantic Comprehension,arXiv preprint arXiv:2403.07872,"F Wei, X Chen, L Luo",2024,arxiv.org,0,1
Query Rewriting via Large Language Models,arXiv preprint arXiv:2403.09060,"J Liu, B Mozafari",2024,arxiv.org,0,1
Three new graphical models for statistical language modelling,Proceedings of the 24th international conference on …,"A Mnih, G Hinton",2007,dl.acm.org,957,15
Domain-specific language model pretraining for biomedical natural language processing,ACM Transactions on …,"Y Gu, R Tinn, H Cheng, M Lucas, N Usuyama…",2021,dl.acm.org,1352,6
Language models as zero-shot planners: Extracting actionable knowledge for embodied agents,… on Machine Learning,"W Huang, P Abbeel, D Pathak…",2022,proceedings.mlr.press,549,5
EtC: Temporal Boundary Expand then Clarify for Weakly Supervised Video Grounding with Multimodal Large Language Model,arXiv preprint arXiv …,"G Li, X Ding, D Cheng, J Li, N Wang, X Gao",2023,arxiv.org,1,2
Large language models facilitate the generation of electronic health record phenotyping algorithms,medRxiv,"C Yan, HH Ong, ME Grabowska, MS Krantz, WC Su…",2023,medrxiv.org,1,5
Barack's wife Hillary: Using knowledge-graphs for fact-aware language modeling,arXiv preprint arXiv …,"RL Logan IV, NF Liu, ME Peters, M Gardner…",2019,arxiv.org,217,11
"Scaling language models: Methods, analysis & insights from training gopher",arXiv preprint arXiv …,"JW Rae, S Borgeaud, T Cai, K Millican…",2021,arxiv.org,711,5
Mental-LLM: Leveraging Large Language Models for Mental Health Prediction via Online Text Data,Proceedings of the …,"X Xu, B Yao, Y Dong, S Gabriel, H Yu…",2024,dl.acm.org,0,1
[PDF] Using contextual speller techniques and language modeling for ESL error correction,… on Natural Language …,"M Gamon, J Gao, C Brockett, A Klementiev…",2008,aclanthology.org,182,14
Improving language models by retrieving from trillions of tokens,International …,"S Borgeaud, A Mensch, J Hoffmann…",2022,proceedings.mlr.press,611,5
One billion word benchmark for measuring progress in statistical language modeling,arXiv preprint arXiv …,"C Chelba, T Mikolov, M Schuster, Q Ge…",2013,arxiv.org,1212,15
Symbolic knowledge distillation: from general language models to commonsense models,arXiv preprint arXiv …,"P West, C Bhagavatula, J Hessel, JD Hwang…",2021,arxiv.org,209,5
Fine-tuning Large Language Models with Sequential Instructions,arXiv preprint arXiv:2403.07794,"H Hu, P Chen, EM Ponti",2024,arxiv.org,0,1
Taxonomy of risks posed by language models,Proceedings of the …,"L Weidinger, J Uesato, M Rauh, C Griffin…",2022,dl.acm.org,287,9
[HTML] Large language models and generative AI in telehealth: a responsible use lens,Journal of the American Medical …,"J Pool, M Indulska, S Sadiq",2024,academic.oup.com,0,1
CLongEval: A Chinese Benchmark for Evaluating Long-Context Large Language Models,arXiv preprint arXiv:2403.03514,"Z Qiu, J Li, S Huang, W Zhong, I King",2024,arxiv.org,0,1
Improving neural language models with a continuous cache,arXiv preprint arXiv:1612.04426,"E Grave, A Joulin, N Usunier",2016,arxiv.org,325,3
[PDF] Topic-based language models using EM,Sixth European Conference on Speech …,"D Gildea, T Hofmann",1999,icsi.berkeley.edu,330,16
Audiolm: a language modeling approach to audio generation,"… ,  and Language …","Z Borsos, R Marinier, D Vincent…",2023,ieeexplore.ieee.org,255,3
Explaining Genetic Programming Trees using Large Language Models,arXiv preprint arXiv:2403.03397,"P Maddigan, A Lensen, B Xue",2024,arxiv.org,0,1
React: Synergizing reasoning and acting in language models,arXiv preprint arXiv …,"S Yao, J Zhao, D Yu, N Du, I Shafran…",2022,arxiv.org,733,6
ShortGPT: Layers in Large Language Models are More Redundant Than You Expect,arXiv preprint arXiv …,"X Men, M Xu, Q Zhang, B Wang, H Lin, Y Lu…",2024,arxiv.org,0,1
Universal and transferable adversarial attacks on aligned language models,arXiv preprint arXiv:2307.15043,"A Zou, Z Wang, JZ Kolter, M Fredrikson",2023,arxiv.org,280,8
Mining source code repositories at massive scale using language modeling,2013 10th working conference on …,"M Allamanis, C Sutton",2013,ieeexplore.ieee.org,453,17
[PDF] KenLM: Faster and smaller language model queries,Proceedings of the sixth workshop on statistical …,K Heafield,2011,aclanthology.org,1582,20
Future Potential Challenges of Using Large Language Models Like ChatGPT in Daily Medical Practice,Journal of the American College of Radiology,S Sedaghat,2024,Elsevier,1,4
Peacock: A Family of Arabic Multimodal Large Language Models and Benchmarks,arXiv preprint arXiv …,"F Alwajih, EMB Nagoudi, G Bhatia, A Mohamed…",2024,arxiv.org,0,1
Identify Critical Nodes in Complex Network with Large Language Models,arXiv preprint arXiv …,"J Mao, D Zou, L Sheng, S Liu, C Gao, Y Wang…",2024,arxiv.org,0,1
K2: A foundation language model for geoscience knowledge understanding and utilization,Proceedings of the 17th …,"C Deng, T Zhang, Z He, Q Chen, Y Shi, Y Xu…",2024,dl.acm.org,5,1
Adaptive semiparametric language models,Transactions of the …,"D Yogatama, C de Masson d'Autume…",2021,direct.mit.edu,92,9
Are Human Conversations Special? A Large Language Model Perspective,arXiv preprint arXiv …,"T Jawale, C Animesh, S Vallath…",2024,arxiv.org,0,1
[PDF] Evaluation metrics for language models,,"SF Chen, D Beeferman, R Rosenfeld",1998,kilthub.cmu.edu,255,10
PhoBERT: Pre-trained language models for Vietnamese,arXiv preprint arXiv:2003.00744,"DQ Nguyen, AT Nguyen",2020,arxiv.org,333,5
Bugs in Large Language Models Generated Code,arXiv preprint arXiv …,"F Tambon, AM Dakhel, A Nikanjam, F Khomh…",2024,arxiv.org,0,1
Multimodal few-shot learning with frozen language models,Advances in …,"M Tsimpoukelli, JL Menick, S Cabi…",2021,proceedings.neurips.cc,516,6
Automatic semantic augmentation of language model prompts (for code summarization),2024 IEEE/ACM 46th …,"T Ahmed, KS Pai, P Devanbu, ET Barr",2024,computer.org,2,1
On the cusp: Considering the impact of artificial intelligence language models in healthcare,Med,"RS Goodman, JR Patrinely Jr, T Osterman, L Wheless…",2023,Elsevier,40,3
XLMR4MD: New Vietnamese dataset and framework for detecting the consistency of description and permission in Android applications using large language models,Computers & Security,"QN Nguyen, NT Cam, K Van Nguyen",2024,Elsevier,0,1
Clip-adapter: Better vision-language models with feature adapters,International Journal of …,"P Gao, S Geng, R Zhang, T Ma, R Fang…",2024,Springer,429,10
"[HTML] The role of ChatGPT, generative language models, and artificial intelligence in medical education: a conversation with ChatGPT and a call for papers",JMIR Medical Education,G Eysenbach,2023,mededu.jmir.org,321,10
Estimation of language models for new spoken language applications,… Fourth International Conference on Spoken Language …,S Issar,1996,ieeexplore.ieee.org,225,7
"Out of one, many: Using language models to simulate human samples",Political …,"LP Argyle, EC Busby, N Fulda, JR Gubler…",2023,cambridge.org,216,9
CAT: Enhancing Multimodal Large Language Model to Answer Questions in Dynamic Audio-Visual Scenarios,arXiv preprint arXiv:2403.04640,"Q Ye, Z Yu, R Shao, X Xie, P Torr, X Cao",2024,arxiv.org,0,1
A variable-length category-based n-gram language model,1996 IEEE International …,"TR Niesler, PC Woodland",1996,ieeexplore.ieee.org,253,11
Beyond the imitation game: Quantifying and extrapolating the capabilities of language models,arXiv preprint arXiv …,"A Srivastava, A Rastogi, A Rao, AAM Shoeb…",2022,arxiv.org,675,9
Inner monologue: Embodied reasoning through planning with language models,arXiv preprint arXiv …,"W Huang, F Xia, T Xiao, H Chan, J Liang…",2022,arxiv.org,463,5
Self-consistency improves chain of thought reasoning in language models,arXiv preprint arXiv …,"X Wang, J Wei, D Schuurmans, Q Le, E Chi…",2022,arxiv.org,528,5
Augmented language models: a survey,arXiv preprint arXiv …,"G Mialon, R Dessì, M Lomeli, C Nalmpantis…",2023,arxiv.org,276,4
It's not just size that matters: Small language models are also few-shot learners,arXiv preprint arXiv:2009.07118,"T Schick, H Schütze",2020,arxiv.org,742,6
[PDF] Deep neural network language models,… of Language Modeling …,"E Arisoy, TN Sainath, B Kingsbury…",2012,aclanthology.org,294,10
Learning to prompt for vision-language models,International Journal of Computer Vision,"K Zhou, J Yang, CC Loy, Z Liu",2022,Springer,1149,10
Tastle: Distract Large Language Models for Automatic Jailbreak Attack,arXiv preprint arXiv:2403.08424,"Z Xiao, Y Yang, G Chen, Y Chen",2024,arxiv.org,0,1
Binding language models in symbolic languages,arXiv preprint arXiv …,"Z Cheng, T Xie, P Shi, C Li, R Nadkarni, Y Hu…",2022,arxiv.org,94,3
[HTML] Assessing the research landscape and clinical utility of large language models: a scoping review,BMC Medical …,"YJ Park, A Pillai, J Deng, E Guo…",2024,bmcmedinformdecismak …,0,1
[PDF] Improving text simplification language modeling using unsimplified text data,Proceedings of the 51st annual meeting of the …,D Kauchak,2013,aclanthology.org,191,5
QA-GNN: Reasoning with language models and knowledge graphs for question answering,arXiv preprint arXiv …,"M Yasunaga, H Ren, A Bosselut, P Liang…",2021,arxiv.org,410,8
Realtoxicityprompts: Evaluating neural toxic degeneration in language models,arXiv preprint arXiv …,"S Gehman, S Gururangan, M Sap, Y Choi…",2020,arxiv.org,680,8
[PDF] Intelligent selection of language model training data,Proceedings of the ACL 2010 conference …,"RC Moore, W Lewis",2010,aclanthology.org,681,10
Llama: Open and efficient foundation language models,arXiv preprint arXiv …,"H Touvron, T Lavril, G Izacard, X Martinet…",2023,arxiv.org,4607,13
Analysis of Privacy Leakage in Federated Large Language Models,arXiv preprint arXiv:2403.04784,"MN Vu, T Nguyen, TR Jeter, MT Thai",2024,arxiv.org,0,1
An analysis of neural language modeling at multiple scales,arXiv preprint arXiv:1803.08240,"S Merity, NS Keskar, R Socher",2018,arxiv.org,187,2
Improving factuality and reasoning in language models through multiagent debate,arXiv preprint arXiv …,"Y Du, S Li, A Torralba, JB Tenenbaum…",2023,arxiv.org,159,6
[PDF] Predictive power of word surprisal for reading times is a linear function of language model quality,… the 8th workshop on cognitive modeling …,"A Goodkind, K Bicknell",2018,aclanthology.org,185,9
Investigating gender bias in language models using causal mediation analysis,Advances in neural …,"J Vig, S Gehrmann, Y Belinkov…",2020,proceedings.neurips.cc,258,11
Multimodal Large Language Models to Support Real-World Fact-Checking,arXiv preprint arXiv …,"J Geng, Y Kementchedjhieva, P Nakov…",2024,arxiv.org,0,1
Towards Safe and Aligned Large Language Models for Medicine,arXiv preprint arXiv:2403.03744,"T Han, A Kumar, C Agarwal, H Lakkaraju",2024,arxiv.org,0,1
[PDF] Subword language modeling with neural networks,preprint (http://www …,"T Mikolov, I Sutskever, A Deoras, HS Le…",2012,datascienceassn.org,232,4
KELLMRec: Knowledge-Enhanced Large Language Models for Recommendation,arXiv preprint arXiv:2403.06642,"W Luo, C Song, L Yi, G Cheng",2024,arxiv.org,0,1
"No Language is an Island: Unifying Chinese and English in Financial Large Language Models, Instruction Data, and Benchmarks",arXiv preprint arXiv …,"G Hu, K Qin, C Yuan, M Peng, A Lopez",2024,arxiv.org,0,1
Deduplicating training data makes language models better,arXiv preprint arXiv …,"K Lee, D Ippolito, A Nystrom, C Zhang, D Eck…",2021,arxiv.org,319,7
[PDF] A scalable hierarchical distributed language model,Advances in neural information …,"A Mnih, GE Hinton",2008,proceedings.neurips.cc,1284,11
[PDF] Faster and smaller n-gram language models,… Computational Linguistics: Human Language …,"A Pauls, D Klein",2011,aclanthology.org,234,5
Ddcot: Duty-distinct chain-of-thought prompting for multimodal reasoning in language models,Advances in Neural …,"G Zheng, B Yang, J Tang, HY Zhou…",2023,proceedings.neurips.cc,8,4
Masked language model scoring,arXiv preprint arXiv …,"J Salazar, D Liang, TQ Nguyen, K Kirchhoff",2019,arxiv.org,399,8
Injecting numerical reasoning skills into language models,arXiv preprint arXiv:2004.04487,"M Geva, A Gupta, J Berant",2020,arxiv.org,188,8
Delta tuning: A comprehensive study of parameter efficient methods for pre-trained language models,arXiv preprint arXiv …,"N Ding, Y Qin, G Yang, F Wei, Z Yang, Y Su…",2022,arxiv.org,144,6
[HTML] Optimizing Large Language Models on Multi-Core CPUs: A Case Study of the BERT Model,Applied Sciences,"L Zhao, W Gao, J Fang",2024,mdpi.com,0,1
Medical semantic similarity with a neural language model,Proceedings of the 23rd …,"L De Vine, G Zuccon, B Koopman, L Sitbon…",2014,dl.acm.org,187,7
CFaiRLLM: Consumer Fairness Evaluation in Large-Language Model Recommender System,arXiv preprint arXiv:2403.05668,"Y Deldjoo, T di Noia",2024,arxiv.org,0,1
Pix2seq: A language modeling framework for object detection,arXiv preprint arXiv …,"T Chen, S Saxena, L Li, DJ Fleet, G Hinton",2021,arxiv.org,240,4
Targeted syntactic evaluation of language models,arXiv preprint arXiv:1808.09031,"R Marvin, T Linzen",2018,arxiv.org,406,17
Probing pretrained language models for lexical semantics,… in Natural Language …,"I Vulić, EM Ponti, R Litschko, G Glavaš…",2020,aclanthology.org,198,7
Intrinsic dimensionality explains the effectiveness of language model fine-tuning,arXiv preprint arXiv:2012.13255,"A Aghajanyan, L Zettlemoyer, S Gupta",2020,arxiv.org,274,6
Reducing sentiment bias in language models via counterfactual evaluation,arXiv preprint arXiv …,"PS Huang, H Zhang, R Jiang, R Stanforth…",2019,arxiv.org,153,6
[HTML] ProtGPT2 is a deep unsupervised language model for protein design,Nature communications,"N Ferruz, S Schmidt, B Höcker",2022,nature.com,247,14
Quantum Many-Body Physics Calculations with Large Language Models,arXiv preprint arXiv …,"H Pan, N Mudur, W Taranto, M Tikhanovskaya…",2024,arxiv.org,0,1
A simple language model for task-oriented dialogue,Advances in Neural …,E Hosseini,2020,proceedings.neurips.cc,471,7
Smart: Robust and efficient fine-tuning for pre-trained natural language models through principled regularized optimization,arXiv preprint arXiv …,"H Jiang, P He, W Chen, X Liu, J Gao, T Zhao",2019,arxiv.org,401,6
Generalization through memorization: Nearest neighbor language models,arXiv preprint arXiv …,"U Khandelwal, O Levy, D Jurafsky…",2019,arxiv.org,563,8
Vinvl: Revisiting visual representations in vision-language models,Proceedings of the …,"P Zhang, X Li, X Hu, J Yang, L Zhang…",2021,openaccess.thecvf.com,800,10
Ethical and social risks of harm from language models,arXiv preprint arXiv …,"L Weidinger, J Mellor, M Rauh, C Griffin…",2021,arxiv.org,550,5
Codekgc: Code language model for generative knowledge graph construction,Resource Language …,"Z Bi, J Chen, Y Jiang, F Xiong, W Guo, H Chen…",2024,dl.acm.org,11,3
oLMpics-on what language model pre-training captures,Transactions of the …,"A Talmor, Y Elazar, Y Goldberg…",2020,direct.mit.edu,212,8
Adaptive input representations for neural language modeling,arXiv preprint arXiv:1809.10853,"A Baevski, M Auli",2018,arxiv.org,394,5
Don't stop pretraining: Adapt language models to domains and tasks,arXiv preprint arXiv …,"S Gururangan, A Marasović, S Swayamdipta…",2020,arxiv.org,1912,10
ToolNet: Connecting Large Language Models with Massive Tools via Tool Graph,arXiv preprint arXiv …,"X Liu, Z Peng, X Yi, X Xie, L Xiang, Y Liu…",2024,arxiv.org,0,1
GraphInstruct: Empowering Large Language Models with Graph Understanding and Reasoning Capability,arXiv preprint arXiv …,"Z Luo, X Song, H Huang, J Lian, C Zhang…",2024,arxiv.org,0,1
[PDF] SloBERTa: Slovene monolingual large pretrained masked language model,Proceedings of Data Mining and Data …,"M Ulčar, M Robnik",2021,aile3.ijs.si,12,1
Unnatural instructions: Tuning language models with (almost) no human labor,arXiv preprint arXiv:2212.09689,"O Honovich, T Scialom, O Levy, T Schick",2022,arxiv.org,163,5
Glm: General language model pretraining with autoregressive blank infilling,arXiv preprint arXiv …,"Z Du, Y Qian, X Liu, M Ding, J Qiu, Z Yang…",2021,arxiv.org,583,5
ItD: Large Language Models Can Teach Themselves Induction through Deduction,arXiv preprint arXiv …,"W Sun, H Xu, X Yu, P Chen, S He, J Zhao…",2024,arxiv.org,0,1
CodeUltraFeedback: An LLM-as-a-Judge Dataset for Aligning Large Language Models to Coding Preferences,arXiv preprint arXiv:2403.09032,"M Weyssow, A Kamanda, H Sahraoui",2024,arxiv.org,0,1
[PDF] Automatic Root Cause Analysis via Large Language Models for Cloud Incidents,arXiv preprint arXiv …,"Y Chen, H Xie, M Ma, Y Kang, X Gao…",2023,yinfangchen.github.io,1,1
Two decades of statistical language modeling: Where do we go from here?,Proceedings of the IEEE,R Rosenfeld,2000,ieeexplore.ieee.org,1055,24
IntactKV: Improving Large Language Model Quantization by Keeping Pivot Tokens Intact,arXiv preprint arXiv …,"R Liu, H Bai, H Lin, Y Li, H Gao, Z Xu, L Hou…",2024,arxiv.org,0,1
Measuring and improving consistency in pretrained language models,Transactions of the …,"Y Elazar, N Kassner, S Ravfogel…",2021,direct.mit.edu,225,11
"IndicNLPSuite: Monolingual corpora, evaluation benchmarks and pre-trained multilingual language models for Indian languages",Findings of the …,"D Kakwani, A Kunchukuttan, S Golla…",2020,aclanthology.org,386,5
Holistic evaluation of language models,arXiv preprint arXiv …,"P Liang, R Bommasani, T Lee, D Tsipras…",2022,arxiv.org,551,6
LLM4Decompile: Decompiling Binary Code with Large Language Models,arXiv preprint arXiv:2403.05286,"H Tan, Q Luo, J Li, Y Zhang",2024,arxiv.org,0,1
Plug and play language models: A simple approach to controlled text generation,arXiv preprint arXiv …,"S Dathathri, A Madotto, J Lan, J Hung, E Frank…",2019,arxiv.org,767,8
Llama-adapter: Efficient fine-tuning of language models with zero-init attention,arXiv preprint arXiv …,"R Zhang, J Han, A Zhou, X Hu, S Yan, P Lu, H Li…",2023,arxiv.org,292,4
Adaptive importance sampling to accelerate training of a neural probabilistic language model,IEEE Transactions on Neural Networks,"Y Bengio, JS Senécal",2008,ieeexplore.ieee.org,291,14
Meaningful Learning: Advancing Abstract Reasoning in Large Language Models via Generic Fact Guidance,arXiv preprint arXiv …,"K Xiong, X Ding, T Liu, B Qin, D Xu, Q Yang…",2024,arxiv.org,0,1
Universal language model fine-tuning for text classification,arXiv preprint arXiv:1801.06146,"J Howard, S Ruder",2018,arxiv.org,4267,11
Enhancing Magnetocaloric Material Discovery: A Machine Learning Approach Using an Autogenerated Database by Large Language Models,arXiv preprint arXiv:2403.02553,"J Yuan, R Yang, L Patra, B Liao",2024,arxiv.org,0,1
Context dependent recurrent neural network language model,2012 IEEE Spoken Language Technology …,"T Mikolov, G Zweig",2012,ieeexplore.ieee.org,753,8
Language models enable zero-shot prediction of the effects of mutations on protein function,Advances in neural …,"J Meier, R Rao, R Verkuil, J Liu…",2021,proceedings.neurips.cc,332,8
Conditional prompt learning for vision-language models,Proceedings of the IEEE …,"K Zhou, J Yang, CC Loy, Z Liu",2022,openaccess.thecvf.com,701,9
Fine-tuning language models from human preferences,arXiv preprint arXiv …,"DM Ziegler, N Stiennon, J Wu, TB Brown…",2019,arxiv.org,798,2
From technical to understandable: Artificial Intelligence Large Language Models improve the readability of knee radiology reports,Knee Surgery …,"JJ Butler, J Puleo, MC Harrington…",2024,Wiley Online Library,0,1
InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,arXiv preprint arXiv:2403.02691,"Q Zhan, Z Liang, Z Ying, D Kang",2024,arxiv.org,0,1
Deeper text understanding for IR with contextual neural language modeling,Proceedings of the 42nd international ACM SIGIR …,"Z Dai, J Callan",2019,dl.acm.org,411,9
Towards understanding and mitigating social biases in language models,… on Machine Learning,"PP Liang, C Wu, LP Morency…",2021,proceedings.mlr.press,257,9
From feedforward to recurrent LSTM neural networks for language modeling,"… ,  Speech,  and Language …","M Sundermeyer, H Ney…",2015,ieeexplore.ieee.org,578,5
Fly-swat or cannon? cost-effective language model choice via meta-modeling,… of the 17th ACM International Conference …,"M Šakota, M Peyrard, R West",2024,dl.acm.org,8,2
StereoSet: Measuring stereotypical bias in pretrained language models,arXiv preprint arXiv:2004.09456,"M Nadeem, A Bethke, S Reddy",2020,arxiv.org,636,6
Guiding Enumerative Program Synthesis with Large Language Models,arXiv preprint arXiv:2403.03997,"Y Li, J Parsert, E Polgreen",2024,arxiv.org,0,1
Med3DInsight: Enhancing 3D Medical Image Understanding with 2D Multi-Modal Large Language Models,arXiv preprint arXiv:2403.05141,"Q Chen, H Ye, Y Hong",2024,arxiv.org,0,1
Semi-supervised sequence tagging with bidirectional language models,arXiv preprint arXiv …,"ME Peters, W Ammar, C Bhagavatula…",2017,arxiv.org,816,7
Table meets llm: Can large language models understand structured table data? a benchmark and empirical study,Proceedings of the 17th ACM …,"Y Sui, M Zhou, M Zhou, S Han, D Zhang",2024,dl.acm.org,0,1
PICARD: Parsing incrementally for constrained auto-regressive decoding from language models,arXiv preprint arXiv:2109.05093,"T Scholak, N Schucher, D Bahdanau",2021,arxiv.org,237,4
Unsupervised language model adaptation,2003 IEEE International Conference on …,"M Bacchiani, B Roark",2003,ieeexplore.ieee.org,202,13
How context affects language models' factual predictions,arXiv preprint arXiv …,"F Petroni, P Lewis, A Piktus, T Rocktäschel…",2020,arxiv.org,178,7
PHAnToM: Personality Has An Effect on Theory-of-Mind Reasoning in Large Language Models,arXiv preprint arXiv …,"FA Tan, GC Yeo, F Wu, W Xu, V Jain, A Chadha…",2024,arxiv.org,0,1
A general language model for information retrieval,Proceedings of the eighth international conference …,"F Song, WB Croft",1999,dl.acm.org,890,13
Cross-lingual language model pretraining,Advances in neural information …,"A Conneau, G Lample",2019,proceedings.neurips.cc,1409,4
"[HTML] Large language models and bariatric surgery patient education: a comparative readability analysis of GPT-3.5, GPT-4, Bard, and online institutional resources",Surgical …,"N Srinivasan, JS Samaan, ND Rajeev, MU Kanu…",2024,Springer,0,1
Smoothing techniques for adaptive online language models: topic tracking in tweet streams,Proceedings of the 17th ACM SIGKDD …,"J Lin, R Snow, W Morgan",2011,dl.acm.org,168,4
Transformer protein language models are unsupervised structure learners,Biorxiv,"R Rao, J Meier, T Sercu, S Ovchinnikov, A Rives",2020,biorxiv.org,232,8
Privacy risks of general-purpose language models,2020 IEEE Symposium on …,"X Pan, M Zhang, S Ji, M Yang",2020,ieeexplore.ieee.org,154,6
"Angry Men, Sad Women: Large Language Models Reflect Gendered Stereotypes in Emotion Attribution",arXiv preprint arXiv …,FM Plaza,2024,arxiv.org,0,1
On the state of the art of evaluation in neural language models,arXiv preprint arXiv:1707.05589,"G Melis, C Dyer, P Blunsom",2017,arxiv.org,607,4
How can we know what language models know?,Transactions of the Association for …,"Z Jiang, FF Xu, J Araki, G Neubig",2020,direct.mit.edu,1039,17
Red teaming language models with language models,arXiv preprint arXiv …,"E Perez, S Huang, F Song, T Cai, R Ring…",2022,arxiv.org,278,3
[BUCH] Large-scale topic detection and language model adaptation,,"K Seymore, R Rosenfeld",1997,cs.cmu.edu,32,14
Self-organized language modeling for speech recognition,Readings in speech recognition,F Jelinek,1990,books.google.com,1155,5
Integrating Knowledge Graph Data with Large Language Models for Explainable Inference,… Conference on Web Search and Data …,CE Quintero,2024,dl.acm.org,0,1
Pretrained language models for biomedical and clinical tasks: understanding and extending the state-of-the-art,… the 3rd clinical natural language …,"P Lewis, M Ott, J Du, V Stoyanov",2020,aclanthology.org,179,2
Exploiting both local and global constraints for multi-span statistical language modeling,Proceedings of the 1998 IEEE International …,JR Bellegarda,1998,ieeexplore.ieee.org,284,3
A systematic evaluation of large language models for generating programming code,arXiv preprint arXiv:2403.00894,"W Hou, Z Ji",2024,arxiv.org,0,1
Research on Question Answering System on Joint of Knowledge Graph and Large Language Models.,Journal of Frontiers of …,"Z Heyi, W Xin, H Lifan, LI Zhao…",2023,search.ebscohost.com,1,2
Evaluating Large Language Models as Virtual Annotators for Time-series Physical Sensing Data,arXiv preprint arXiv:2403.01133,"A Hota, S Chatterjee, S Chakraborty",2024,arxiv.org,0,1
Getting Serious about Humor: Crafting Humor Datasets with Unfunny Large Language Models,arXiv preprint arXiv …,"Z Horvitz, J Chen, R Aditya, H Srivastava…",2024,arxiv.org,0,1
Entropy-based pruning of backoff language models,arXiv preprint cs/0006025,A Stolcke,2000,arxiv.org,409,8
Exploiting latent semantic information in statistical language modeling,Proceedings of the IEEE,JR Bellegarda,2000,ieeexplore.ieee.org,733,9
True few-shot learning with language models,Advances in neural information …,"E Perez, D Kiela, K Cho",2021,proceedings.neurips.cc,295,7
Character-level language modeling with deeper self-attention,Proceedings of the AAAI …,R Al,2019,ojs.aaai.org,407,13
Comparison of feedforward and recurrent neural network language models,"… on acoustics,  speech …","M Sundermeyer, I Oparin, JL Gauvain…",2013,ieeexplore.ieee.org,168,10
""" Like a Nesting Doll"": Analyzing Recursion Analogies Generated by CS Students using Large Language Models",arXiv preprint arXiv …,"S Bernstein, P Denny, J Leinonen, L Kan…",2024,arxiv.org,0,1
LLM-Ensemble: Optimal Large Language Model Ensemble Method for E-commerce Product Attribute Value Extraction,arXiv preprint arXiv …,"C Fang, X Li, Z Fan, J Xu, K Nag, E Korpeoglu…",2024,arxiv.org,0,1
Context-Sensitive Semantic Reasoning in Large Language Models,ICLR 2024 Workshop on …,"T Giallanza, DI Campbell",2024,openreview.net,0,1
Finbert: Financial sentiment analysis with pre-trained language models,arXiv preprint arXiv:1908.10063,D Araci,2019,arxiv.org,674,4
KnowPhish: Large Language Models Meet Multimodal Knowledge Graphs for Enhancing Reference-Based Phishing Detection,arXiv preprint arXiv …,"Y Li, C Huang, S Deng, ML Lock, T Cao, N Oo…",2024,arxiv.org,0,1
In-context learning enables multimodal large language models to classify cancer pathology images,arXiv preprint arXiv …,"D Ferber, G Wölflein, IC Wiest, M Ligero…",2024,arxiv.org,0,1
A fast and simple algorithm for training neural probabilistic language models,arXiv preprint arXiv:1206.6426,"A Mnih, YW Teh",2012,arxiv.org,881,16
Memoro: Using Large Language Models to Realize a Concise Interface for Real-Time Memory Augmentation,arXiv preprint arXiv:2403.02135,"W Zulfikar, S Chan, P Maes",2024,arxiv.org,0,1
""" It's the only thing I can trust"": Envisioning Large Language Model Use by Autistic Workers for Communication Assistance",arXiv preprint arXiv …,"JW Jang, S Moharana, P Carrington…",2024,arxiv.org,0,1
Right for Right Reasons: Large Language Models for Verifiable Commonsense Knowledge Graph Question Answering,arXiv preprint arXiv:2403.01390,"A Toroghi, W Guo, MMA Pour, S Sanner",2024,arxiv.org,0,1
Enhancing Trust in Autonomous Agents: An Architecture for Accountability and Explainability through Blockchain and Large Language Models,arXiv preprint arXiv …,L Fernández,2024,arxiv.org,0,1
Enhancing chest X-ray datasets with privacy-preserving large language models and multi-type annotations: a data-driven approach for improved classification,arXiv preprint arXiv:2403.04024,"RB Lanfredi, P Mukherjee, R Summers",2024,arxiv.org,0,1
ChatUIE: Exploring Chat-based Unified Information Extraction using Large Language Models,arXiv preprint arXiv:2403.05132,"J Xu, M Sun, Z Zhang, J Zhou",2024,arxiv.org,0,1
[PDF] WikiChat: Combating hallucination of large language models by few-shot grounding on wikipedia,arXiv preprint arXiv …,"SJSVZ Yao, HC Zhang, MS Lam",2023,oval.cs.stanford.edu,1,1
