ID_author,Title,Authors,Part_of,Year,Zitiert_von
2,Photoactivated chromophore for infectious keratitis–Corneal cross-linking (PACK-CXL): A systematic review and meta-analysis,"DSJ Ting, C Henein, DG Said, HS Dua","The Ocular Surface 17 (4), 624-634",2019,84
2,"Epithelial ingrowth following laser in situ keratomileusis (LASIK): prevalence, risk factors, management and visual outcomes","DSJ Ting, S Srinivasan, JP Danjoux","BMJ Open Ophthalmology 3 (1), e000133",2018,76
2,Strategies in translating the therapeutic potentials of host defense peptides,"DSJ Ting, RW Beuerman, HS Dua, R Lakshminarayanan, I Mohammed","Frontiers in Immunology 11, 538970",2020,75
2,A 10-year analysis of microbiological profiles of microbial keratitis: the North East England Study,"DSJ Ting, C Settle, SJ Morgan, O Baylis, S Ghosh","Eye 32 (8), 1416-1417",2018,72
2,"Chemical eye injury: pathophysiology, assessment and management","HS Dua, DSJ Ting, A Al Saadi, DG Said","Eye 34 (11), 2001-2019",2020,63
2,Corneal neurotization for neurotrophic keratopathy: clinical outcomes and in vivo confocal microscopic and histopathological findings,"DSJ Ting, GS Figueiredo, C Henein, E Barnes, O Ahmed, HS Mudhar, ...","Cornea 37 (5), 641-646",2018,62
2,Corneal graft rejection following COVID-19 vaccine,"KI Rallis, DSJ Ting, DG Said, HS Dua","Eye 36 (6), 1319-1320",2022,53
2,Psychosocial impact of COVID-19 pandemic lockdown on people living with eye diseases in the UK,"DSJ Ting, S Krause, DG Said, HS Dua","Eye 35 (7), 2064-2066",2021,53
2,Artificial intelligence-assisted telemedicine platform for cataract screening and management: a potential model of care for global eye health,"DSJ Ting, M Ang, JS Mehta, DSW Ting","British Journal of Ophthalmology 103 (11), 1537-1538",2019,50
2,Implantation of a customized toric intraocular lens for correction of post-keratoplasty astigmatism,"S Srinivasan, DSJ Ting, DAM Lyall","Eye 27 (4), 531-537",2013,48
2,"Risk Factors, Clinical Outcomes and Prognostic Factors of Bacterial Keratitis: The Nottingham Infectious Keratitis Study","DSJ Ting, J Cairns, BP Gopal, CS Ho, L Krstic, A Elsahn, M Lister, ...","Frontiers in Medicine 8, 715118",2021,47
2,Application of artificial intelligence in cataract management: Current and future directions,"L Gutierrez, JS Lim, LL Foo, WYY Ng, M Yip, GYS Lim, MHY Wong, ...","Eye and Vision 9 (1), 1-11",2022,46
2,"Artificial Intelligence in Cornea, Refractive Surgery, and Cataract: Basic Principles, Clinical Applications, and Future Directions.","R Rampat, R Deshmukh, X Chen, DSW Ting, DG Said, HS Dua, DSJ Ting","Asia-Pacific Journal of Ophthalmology (Phila) 10 (3), 268-281",2021,42
2,The impact of COVID-19 pandemic on ophthalmology services: are we ready for the aftermath?,"DSJ Ting, R Deshmukh, DG Said, HS Dua","Therapeutic Advances in Ophthalmology 12, 2515841420964099",2020,40
2,Are Descemet Membrane Ruptures the Root Cause of Corneal Hydrops in Keratoconic Eyes?,"DSJ Ting, DG Said, HS Dua","American Journal of Ophthalmology 205, 204",2019,38
2,"Polymicrobial keratitis with Cryptococcus curvatus, Candida parapsilosis, and Stenotrophomonas maltophilia after penetrating keratoplasty: a rare case report with literature review","DSJ Ting, G Bignardi, R Koerner, LD Irion, E Johnson, SJ Morgan, ...","Eye & Contact Lens 45 (2), e5-e10",2019,38
2,Diagnostic armamentarium of infectious keratitis: A comprehensive review,"DSJ Ting, BP Gopal, R Deshmukh, GD Seitzman, DG Said, HS Dua","The Ocular Surface 23, 27-39",2022,36
2,Effectiveness and safety of accelerated (9 mW/cm2) corneal collagen cross-linking for progressive keratoconus: a 24-month follow-up,"DSJ Ting, R Rana-Rahman, Y Chen, D Bell, JP Danjoux, SJ Morgan, ...","Eye 33 (5), 812-818",2019,35
2,A 10-year review of orbital biopsy: the Newcastle Eye Centre Study,"DSJ Ting, M Perez-Lopez, NJ Chew, L Clarke, AJ Dickinson, C Neoh","Eye 29 (9), 1162-1166",2015,35
2,Clinical Characteristics and Outcomes of Fungal Keratitis in the United Kingdom 2011-2020: A 10-Year Study,"DSJ Ting, M Galal, B Kulkarni, MS Elalfy, D Lake, S Hamada, DG Said, ...","Journal of Fungi 7 (11), 966",2021,33
2,Amniotic membrane transplantation for infectious keratitis: A systematic review and meta-analysis,"DSJ Ting, C Henein, DG Said, HS Dua","Scientific Reports 11 (1), 1-15",2021,32
2,Effect of high-vacuum setting on phacoemulsification efficiency,"DSJ Ting, J Rees, JY Ng, D Allen, DHW Steel","Journal of Cataract & Refractive Surgery 43 (9), 1135-1139",2017,27
2,"Epidemiology, economic and humanistic burdens of ocular surface chemical injury: A narrative review","AA Ahmmed, DSJ Ting, FC Figueiredo","The Ocular Surface 20, 199-211",2021,25
2,ChatGPT in ophthalmology: the dawn of a new era?,"DSJ Ting, TF Tan, DSW Ting","Eye 38 (1), 4-7",2024,24
2,"Post-Keratoplasty Infectious Keratitis: Epidemiology, Risk Factors, Management and Outcomes","A Song, R Deshmukh, H Lin, M Ang, J Mehta, J Chodosh, D Said, HS Dua, ...","Frontiers in Medicine 8, 707242",2021,23
2,Herpes zoster ophthalmicus,"DSJ Ting, N Ghosh, S Ghosh","BMJ 364, k5234",2019,23
2,Arthrographis kalrae keratitis complicated by endophthalmitis: a case report with literature review,"DSJ Ting, M Mckenna, SN Sadiq, J Martin, HS Mudhar, A Meeney, T Patel","Eye & Contact Lens 46 (6), e59-e65",2020,22
2,Acute corneal perforation 1 week following uncomplicated cataract surgery: the implication of undiagnosed dry eye disease and topical NSAIDs,"DSJ Ting, S Ghosh","Therapeutic Advances in Ophthalmology 11, 2515841419869508",2019,22
2,Potential of mesenchymal stem cells as topical immunomodulatory cell therapies for ocular surface inflammatory disorders,"LJ Beeken, DSJ Ting, LE Sidney","Stem Cells Translational Medicine 10 (1), 39-49",2021,21
2,Rational substitution of ε-lysine for α-lysine enhances the cell and membrane selectivity of pore-forming melittin,"V Mayandi, Q Xi, ET Leng Goh, SK Koh, TY Jie Toh, VA Barathi, ...","Journal of Medicinal Chemistry 63 (7), 3522-3537",2020,21
2,"Seasonal patterns of incidence, demographic factors and microbiological profiles of infectious keratitis: the Nottingham Infectious Keratitis Study","DSJ Ting, CS Ho, J Cairns, BP Gopal, A Elsahn, M Al-Aqaba, T Boswell, ...","Eye 35, 2543-2549",2021,20
2,Manifestation of Herpetic Eye Disease after COVID-19 Vaccine: A UK Case Series,"KI Rallis, R Fausto, DSJ Ting, MA Al-Aqaba, DG Said, HS Dua","Ocular Immunology and Inflammation, 1-6",2022,18
2,Care for critically Ill patients with COVID-19: don't forget the eyes,"DSJ Ting, R Deshmukh, DG Said, HS Dua","Eye 34 (7), 1253-1254",2020,18
2,"The pre-Descemet's layer (Dua's layer, also known as the Dua-Fine layer and the pre-posterior limiting lamina layer): Discovery, characterisation, clinical and surgical …","HS Dua, R Freitas, I Mohammed, DSJ Ting, DG Said","Progress in Retinal and Eye Research 97, 101161",2023,17
2,Descemet membrane endothelial keratoplasty in Asian eyes: intraoperative and postoperative complications,"M Ang, DSJ Ting, A Kumar, KO May, HM Htoon, JS Mehta","Cornea 39 (8), 940-945",2020,17
2,Interface Haze After Descemet Stripping Automated Endothelial Keratoplasty,"DSJ Ting, DG Said, HS Dua","JAMA Ophthalmology 137 (10), 1201-1202",2019,17
2,Management of Keratoconus: An Updated Review,"R Deshmukh, ZZ Ong, R Rampat, JL Alió Del Barrio, A Barua, M Ang, ...","Frontiers in Medicine 10, 1212314",2023,16
2,Big data in corneal diseases and cataract: Current applications and future directions,"DSJ Ting, R Deshmukh, DSW Ting, M Ang","Frontiers in Big Data 6, 1017420",2023,16
2,Surgical management of infectious keratitis,"DG Said, KI Rallis, MA Al-Aqaba, DSJ Ting, HS Dua","The Ocular Surface 28, 401-412",2023,16
2,Clinical spectrum and outcomes of ocular and periocular complications following external-beam radiotherapy for inoperable malignant maxillary sinus tumors,"DSJ Ting, R Rana-Rahman, JY Ng, DJP Wilkinson, D Ah-Kine, T Patel","Ocular Oncology and Pathology 7 (1), 36-43",2021,16
2,Real-world experience of using ciclosporin-A 0.1%(Ikervis) in the management of ocular surface inflammatory diseases,"R Deshmukh, DSJ Ting, A Elsahn, I Mohammed, DG Said, HS Dua","British Journal of Ophthalmology 106 (8), 1087-1092",2022,15
2,Graft detachments in endothelial keratoplasty,"R Deshmukh, S Nair, DSJ Ting, T Agarwal, J Beltz, RB Vajpayee","British Journal of Ophthalmology 106, 1-13",2022,15
2,Translational and regulatory challenges of corneal endothelial cell therapy: A global perspective,"DSJ Ting, GSL Peh, K Adnan, JS Mehta","Tissue Engineering Part B: Reviews 28 (1), 52-62",2022,14
2,Hybrid Derivative of Cathelicidin and Human Beta Defensin-2 Against Gram-Positive Bacteria: A Novel Approach for the Treatment of Bacterial Keratitis,"DSJ Ting, ETL Goh, V Mayandi, J Busoy, T Aung, M Periayah, M Nubile, ...","Scientific Reports 11, 18304",2021,14
2,Impact of telephone consent and potential for eye donation in the UK: the Newcastle Eye Centre study,"DSJ Ting, J Potts, M Jones, T Lawther, WJ Armitage, FC Figueiredo","Eye 30 (3), 342-348",2016,14
2,"Implementation of a new telephone triage system in ophthalmology emergency department during COVID-19 pandemic: clinical effectiveness, safety and patient satisfaction","Y Chen, R Ismail, MR Cheema, DSJ Ting, I Masri","Eye 36 (5), 1126-1128",2022,12
2,Late-onset traumatic dislocation of laser in situ keratomileusis corneal flaps: a case series with many clinical lessons,"DSJ Ting, JP Danjoux","International Ophthalmology 39 (6), 1397-1403",2019,12
2,Changing trend in the utilisation rate of donated corneas for keratoplasty in the UK: The North East England Study,"DSJ Ting, J Potts, M Jones, T Lawther, WJ Armitage, FC Figueiredo","Eye 30 (11), 1475-1480",2016,12
2,Re: Prajna et al.: Cross-Linking-Assisted Infection Reduction (CLAIR): A randomized clinical trial evaluating the effect of adjuvant cross-linking on outcomes in fungal …,"DSJ Ting, C Henein, DG Said, HS Dua","Ophthalmology 127 (8), e55-e56",2020,11
2,"Central toxic keratopathy after contact lens wear and mechanical debridement: clinical characteristics, and visual and corneal tomographic outcomes","DSJ Ting, S Ghosh","Eye & Contact Lens 45 (4), e15-e23",2019,11
2,Microbial keratitis complicated by acute hydrops following corneal collagen cross‐linking for keratoconus,"DSJ Ting, J Bandyopadhyay, T Patel","Clinical and Experimental Optometry 102 (4), 434-436",2019,11
2,Lamina cribrosa displacement after optic nerve sheath fenestration in idiopathic intracranial hypertension: a new tool for monitoring changes in intracranial pressure?,"M Perez-Lopez, DSJ Ting, L Clarke","British Journal of Ophthalmology 98 (11), 1603-1604",2014,11
2,Effects of Combined Cataract Surgery on Outcomes of Descemet's Membrane Endothelial Keratoplasty: A Systematic Review and Meta-Analysis,"KY Tey, SY Tan, DSJ Ting, JS Mehta, M Ang","Frontiers in Medicine 9, 857200",2022,10
2,Topical use of alcohol in ophthalmology-Diagnostic and therapeutic indications,"HS Dua, R Deshmukh, DSJ Ting, C Wilde, M Nubile, L Mastropasqua, ...","The Ocular Surface 21, 1-15",2021,10
2,Pathophysiology of Keratoconus,"HS Dua, DSJ Ting, M Al-Aqaba, DG Said","Keratoconus, E-Book: Diagnosis and Management. In: Izquierdo, Luis …",2023,9
2,Host defence peptides: A potent alternative to combat antimicrobial resistance in the era of the COVID-19 pandemic,"W Ali, A Elsahn, DSJ Ting, HS Dua, I Mohammed","Antibiotics 11 (4), 475",2022,9
2,Proposal and validation of a new grading system for pterygium (SLIT2),"DSJ Ting, YC Liu, M Patil, AJS Ji, XL Fang, YC Tham, YF Lee, HM Htoon, ...","British Journal of Ophthalmology 105 (7), 921-924",2021,9
2,Pneumodescemetopexy with perfluoroethane (C2F6) for the treatment of acute hydrops secondary to keratoconus,"DSJ Ting, S Srinivasan","Eye 28 (7), 847-851",2014,9
2,"Host Defense Peptides at the Ocular Surface: Roles in Health and Major Diseases, and Therapeutic Potentials","DSJ Ting, I Mohammed, R Lakshminarayanan, RW Beuerman, HS Dua","Frontiers in Medicine 9, 835843",2022,8
2,Self-tattooing of eyeball with inadvertent corneoscleral perforation: the implication of social media,"JY Ng, DSJ Ting, D Vaideanu-Collins, HS Mudhar, B Wagner, P Goggin, ...","Eye 33 (10), 1672-1674",2019,8
2,Confidence of UK Ophthalmology Registrars in Managing Posterior Capsular Rupture: Results from a National Trainee Survey,"AJ Swampillai, VA Nowak, L Maubon, JE Neffendorf, D Sahota, ...","Ophthalmology and Therapy 11 (1), 225-237",2022,7
2,Evaluation of Host Defense Peptide (CaD23)-Antibiotic Interaction and Mechanism of Action: Insights from Experimental and Molecular Dynamics Simulations Studies,"DSJ Ting, J Li, CS Verma, ETL Goh, M Nubile, L Mastropasqua, DG Said, ...","Frontiers in Pharmacology 12, 731499",2021,7
2,Krein Support Vector Machine Classification of Antimicrobial Peptides,"J Redshaw, DSJ Ting, A Brown, JD Hirst, T Gaertner","Digital Discovery 2 (2), 502-511",2023,6
2,Achieving Diagnostic Excellence for Infectious Keratitis: A Future Roadmap,"DSJ Ting, J Chodosh, JS Mehta","Frontiers in Microbiology 13, 1020198",2022,6
2,Virtual consultation for red eye,"CS Ho, AJ Avery, IAT Livingstone, DSJ Ting","BMJ 373, n1490",2021,6
2,Cosmetic outcome of femtosecond laser-assisted pterygium surgery,"DSJ Ting, YC Liu, YF Lee, AJS Ji, TE Tan, HM Htoon, JS Mehta","Eye and Vision 8 (1), 1-8",2021,6
2,"Incidence, characteristics, outcomes and confidence in managing posterior capsular rupture during cataract surgery in the UK: an ophthalmology trainees’ perspective","M Grinton, J Sandhu, A Shwe-Tin, DHW Steel, DSJ Ting, ...","Eye 35 (4), 1213-1220",2021,6
2,Modified manual small incision cataract surgery technique for phacoemulsification-trained surgeons,"DSJ Ting, D Chua, KO May, M Aung, A Kumar, M Farook, HM Htoon, ...","Therapeutic Advances in Ophthalmology 12, 2515841420977372",2020,6
2,Effectiveness of adjuvant photoactivated chromophore corneal collagen cross-linking versus standard antimicrobial treatment for infectious keratitis: a systematic review protocol,"DSJ Ting, C Henein, DG Said, HS Dua","JBI Evidence Synthesis 18 (1), 194-199",2020,6
2,Research attitudes and perceived barriers to conducting research among ophthalmology trainees,"DSJ Ting, M Vrahimi, D Varma, DHW Steel, NETRiON","Eye 32 (3), 653-655",2018,6
2,Trainee-led research networks in ophthalmology: is this the way forward?,"DSJ Ting, M Vrahimi, D Varma, DHW Steel","Eye 32 (2), 476-477",2018,6
2,Deep anterior lamellar keratoplasty: challenges in histopathological examination,"DSJ Ting, K Ramaesh, S Srinivasan, CY Sau, S Mantry, F Roberts","British Journal of Ophthalmology 96 (12), 1510-1512",2012,6
2,False positive microbiological results in Acanthamoeba keratitis: the importance of clinico-microbiological correlation,"TL Wong, ZZ Ong, L Marelli, A Pennacchi, M Lister, DG Said, HS Dua, ...","Eye 37 (17), 3699-3701",2023,5
2,"Diagnosis of Acanthamoeba Keratitis: Past, Present and Future","M Azzopardi, YJ Chong, B Ng, A Recchioni, A Logeswaran, DSJ Ting","Diagnostics 13 (16), 2655",2023,5
2,Management of limbal stem cell deficiency by amnion-assisted conjunctival epithelial redirection using vacuum-dried amniotic membrane and fibrin glue,"HS Dua, DSJ Ting, A AlSaadi, DG Said","British Journal of Ophthalmology 107 (3), 342-348",2023,5
2,"North East Trainee Research in Ophthalmology Network (NETRiON). Incidence, characteristics, outcomes and confidence in managing posterior capsular rupture during cataract …","M Grinton, J Sandhu, A Shwe-Tin, DHW Steel, DSJ Ting","Eye (Lond) 35, 1213-20",2021,5
2,"Re: Bonini et al.: Phase 2 randomized, double-masked, vehicle-controlled trial of recombinant human nerve growth factor for neurotrophic keratitis (Ophthalmology. 2018; 125 …",DSJ Ting,"Ophthalmology 126 (2), e14-e15",2019,5
2,Spontaneous pupillary recovery of Urrets-Zavalia syndrome following Descemet’s membrane endothelial keratoplasty,"MS Marco, DSJ Ting, T Patel","Medical Hypothesis, Discovery and Innovation in Ophthalmology 8 (1), 7-10",2019,5
2,Cannula-associated ocular injuries during cataract surgery: the North East England Study,"DSJ Ting, D Vaideanu-Collins, C Ellerton","Eye 30 (5), 764-765",2016,5
2,Microbiology culture versus 16S/18S polymerase chain reaction for diagnosing infectious keratitis: A comparative study,"YO Hammoudeh, L Suresh, M Lister, HS Dua, DG Said, DSJ Ting","Investigative Ophthalmology & Visual Science 64 (8), 2333-2333",2023,4
2,Improvement in Accommodation and Dynamic Range of Focus After Laser Scleral Microporation: A Potential Treatment for Presbyopia,"DSJ Ting, YC Liu, ER Price, TS Swartz, NC Lwin, AM Hipsley, JS Mehta","Translational Vision Science & Technology 11 (12), 2-2",2022,4
2,Femtosecond laser‐assisted excision of conjunctival melanocytic lesions: Cosmetic and long‐term outcomes,"VG Dimacali, YC Liu, HS Ong, DSJ Ting, JS Mehta","Clinical & Experimental Ophthalmology 49 (3), 312-315",2021,4
2,Effectiveness and safety of early adjuvant amniotic membrane transplant versus standard antimicrobial treatment for infectious keratitis: a systematic review protocol,"DSJ Ting, C Henein, DG Said, HS Dua","JBI evidence synthesis 18 (8), 1808-1814",2020,4
2,Purtscher-like retinopathy associated with squamous cell carcinoma of the cervix,"DSJ Ting, J Smith, SJ Talks","International Ophthalmology 38, 389-393",2018,4
2,Cannula-associated ocular injuries during cataract surgery: a preventable intraoperative complication?,"DSJ Ting, C Dees, C Ellerton","Middle East African Journal of Ophthalmology 24 (1), 54",2017,4
2,Caruncular tumor as the first sign of T-cell lymphoma relapse,"DSJ Ting, Q Mansoor, S Mathew, NK Wride","Seminars in Ophthalmology 30 (2), 139-141",2015,4
2,"Infectious keratitis: an update on epidemiology, causative microorganisms, risk factors, and antimicrobial resistance. Eye (Lond). 2021; 35 (4): 1084-101","DSJ Ting, CS Ho, R Deshmukh, DG Said, HS Dua","Am J Ophthalmol 143, 940-944",2007,4
2,"The Royal College of Ophthalmologists’ National Ophthalmology Database study of cataract surgery: report 16, influence of remuneration model on choice of intraocular lens in the UK","DSJ Ting, AJ Tatham, PHJ Donachie, JC Buchan","Eye 37 (18), 3854-3860",2023,3
2,"Camellia sinensis solvent extract, epigallocatechin gallate and caffeine confer trophocidal and cysticidal effects against Acanthamoeba castellanii","LB Fakae, MSR Harun, DSJ Ting, HS Dua, GWV Cave, XQ Zhu, ...","Acta Tropica 237, 106729",2023,3
2,Opacification of hydrophilic acrylic intraocular lens following vitreoretinal surgery: a clinicopathological report,"JY Ng, DSJ Ting, S Thomas, GU Auffarth, P Merz","Canadian Journal of Ophthalmology 56 (1), e9-e11",2021,3
2,Lacrimal-auricular-dental-digital (LADD) Syndrome with Diffuse Ophthalmoplegia—A New Finding,"LT Lim, R Blum, SN Chia, DSJ Ting, TE Lavy, GN Dutton","Seminars in Ophthalmology 27 (3-4), 59-60",2012,3
2,"A 7-Year Review of Clinical Characteristics, Predisposing Factors and Outcomes of Post-Keratoplasty Infectious Keratitis: The Nottingham Infectious Keratitis Study","ZZ Ong, TL Wong, L Suresh, Y Hammoudeh, M Lister, DG Said, HS Dua, ...","Frontiers in Cellular and Infection Microbiology 13, 1250599",2023,2
2,Large language models approach expert-level clinical knowledge and reasoning in ophthalmology: A head-to-head cross-sectional study,"AJ Thirunavukarasu, S Mahmood, A Malem, WP Foster, R Sanghera, ...","medRxiv, 2023.07. 31.23293474",2023,2
2,Diagnostic performance of deep learning in infectious keratitis: a systematic review and meta-analysis protocol,"ZZ Ong, Y Sadek, X Liu, R Qureshi, SH Liu, T Li, V Sounderajah, ...","BMJ open 13 (5), e065537",2023,2
2,Practice patterns in the management of bacterial keratitis: A five-continent survey,"S Wespiser, E Koestel, T Fabacher, A Sauer, SS Group, T Bourcier","Graefe's Archive for Clinical and Experimental Ophthalmology 261 (7), 1961-1969",2023,2
2,Editorial: Big data and artificial intelligence in ophthalmology,"S Thakur, TH Rim, DSJ Ting, YT Hsieh, T Kim","Frontiers in Medicine 10, 1145522",2023,2
2,Trainee research network (TRN): A potential global model for promoting research training and outputs among trainees,"ZZ Ong, C Henein, AJ Swampillai, L Maubon, RRA Bourne, DSJ Ting","Eye, 1-3",2022,2
2,Clinical outcomes and safety of Diphoterine® irrigation for chemical eye injury: A single-centre experience in the United Kingdom,"MA Nahaboo Solim, TM Lupion-Duran, R Rana-Rahman, T Patel, ...","Therapeutic Advances in Ophthalmology 13, 25158414211030429",2021,2
2,Effects of whole globe enucleation versus in situ corneoscleral excision on donor cornea tissue quality: a systematic review protocol,"DSJ Ting, Y Chen, FC Figueiredo","JBI evidence synthesis 19 (1), 251-256",2021,2
2,Anterior segment OCT: angiography,"M Ang, DSJ Ting, CCA Sng, L Schmetterer","Atlas of Anterior Segment Optical Coherence Tomography, 159-169",2021,2
2,Persistent Unilateral Conjunctival Inflammation as the First Sign of Granulomatosis with Polyangiitis.,"DS Ting, S Anand","Annals of the Academy of Medicine, Singapore 45 (10), 477-478",2016,2
2,Ex vivo demonstration of canine corneal pre-Descemet’s anatomy using pneumodissection as for the big bubble technique for deep anterior lamellar keratoplasty,"C Kafarnik, LA Faraj, DSJ Ting, JN Goh, DG Said, HS Dua","Scientific Reports 13 (1), 5922",2023,1
2,Propranolol ameliorates the antifungal activity of azoles in invasive Candidiasis,"V Mayandi, WT Kang, DSJ Ting, ETL Goh, MN Lynn, TT Aung, J Vadivelu, ...","Pharmaceutics 15 (4), 1044",2023,1
2,Corneal Endothelial Decompensation due to Unrecognised Anterior Migration of Fluocinolone Acetonide Intravitreal Implant,"M Al-Aqaba, D Said, DSJ Ting, H Dua",Journal of EuCornea,2022,1
2,Evaluation of junior doctors’ knowledge of corneal donation and the new opt-out system in England,"BP Gopal, OA Titi-Lartey, P Fernandes, NE Noubani, E Blatherwick, ...","Postgraduate Medical Journal 98, e174-e176",2022,1
2,Comment on: The Impact of COVID-19 on Individuals Across the Spectrum of Visual Impairment,"DSJ Ting, S Krause, DG Said, HS Dua","American Journal of Ophthalmology 230, 303-304",2021,1
2,MCQs for FRCOphth part 2,"DSJ Ting, D Steel",Oxford University Press,2020,1
2,Fight for Sight to maximise impact by funding solutions-focused research in priority eye conditions,R McNeil,"Eye News 25 (2), 6-9",2018,1
2,Radiologic-pathologic correlation of orbital diseases,"DSJ Ting, M Perez-Lopez, NJ Chew, L Clarke","Orbit 35 (3), 159-160",2016,1
